gid_1,country,perc_used_internet_past12months_wght_age_15_to_49_wom,perc_used_internet_past12months_wght_age_15_to_49_fm_ratio,hdi_national,gdi_national,subnational_gdi,subnational_hdi_females,subnational_hdi_males,nl_mean_zscore,pop_density_zscore,fb_pntr_18p_female,fb_pntr_18p_male
CMR.3_1,Cameroon,0.1926641739666,0.567354444202258,0.581,0.891,0.867,0.491,0.566,-0.26874883805813987,-0.2934405584538565,0.0878988671026789,0.168318100393251
CMR.4_1,Cameroon,0.0427819359986579,0.298130033978857,0.581,0.891,0.796,0.408,0.512,-0.26578161056665683,-0.1894953096993978,0.0485727827379982,0.150309303145744
CMR.5_1,Cameroon,0.53451350697501,0.859113321933304,0.581,0.891,0.933,0.671,0.719,-0.23214227088260647,-0.12723995522322393,0.347112265648087,0.415760191138428
CMR.7_1,Cameroon,0.0514770972223563,0.329970751534133,0.581,0.891,0.79,0.397,0.502,-0.26724572162170956,-0.26358041895726586,0.0390322591897671,0.0966169099095805
CMR.6_1,Cameroon,0.235114610407193,0.612790318608557,0.581,0.891,0.936,0.533,0.569,-0.266934875013191,-0.1901902958123572,0.0973816652022284,0.134331254550652
CMR.8_1,Cameroon,0.26035764775370596,0.597368151528358,0.581,0.891,0.902,0.585,0.649,-0.25947255251874474,-0.17218952003908586,0.135487950057008,0.266116470507109
CMR.10_1,Cameroon,0.246333772167707,0.713636674651217,0.581,0.891,0.904,0.585,0.647,-0.26771033313603537,-0.2846165446425849,0.0737682066469036,0.0956471184392112
CMR.9_1,Cameroon,0.5422441942278869,0.868071179178991,0.581,0.891,0.928,0.638,0.687,-0.2660165393576965,-0.23572592660216876,0.159605741914484,0.188518591660453
CIV.1_1,Côte d'Ivoire,0.509377749354381,0.63639127105334,0.53,0.86,0.908,0.587,0.647,1.0927370882546064,1.922086642992786,0.879547759410715,1
CIV.2_1,Côte d'Ivoire,0.19177336548491905,0.471615231513981,0.53,0.86,0.889,0.475,0.535,-0.24443229837127847,-0.21883578548322016,0.0817625536015839,0.183088527570476
CIV.3_1,Côte d'Ivoire,0.365440500856559,0.749729003543154,0.53,0.86,0.897375022065087,0.5529142019716,0.616826134317084,-0.20995622458511404,-0.22036771859055332,0.121346254267122,0.211766921642049
CIV.4_1,Côte d'Ivoire,0.123532320665341,0.284978571670761,0.53,0.86,0.86,0.436,0.507,-0.2506490471638651,-0.2876371519968669,0.116465360571366,0.281047321536334
CIV.5_1,Côte d'Ivoire,0.303940805041079,0.798029015621697,0.53,0.86,0.884573656741135,0.52348150325124,0.591640336608912,-0.22708829486975607,-0.19797879659056483,0.0660229500029931,0.156723026099568
CIV.6_1,Côte d'Ivoire,0.232543925420775,0.514745684377052,0.53,0.86,0.856,0.497,0.58,-0.2344303480689127,-0.2535456471237958,0.0678003990495013,0.188945849279154
CIV.7_1,Côte d'Ivoire,0.257769206702424,0.524881858204319,0.53,0.86,0.908,0.587,0.647,-0.23356052871284425,-0.23304133549869305,0.0957778135139954,0.183176534260097
CIV.8_1,Côte d'Ivoire,0.127651595704787,0.341442019777788,0.53,0.86,0.867,0.441,0.509,-0.2466916203603343,-0.22049338700509624,0.0515201018579571,0.131263391343967
CIV.9_1,Côte d'Ivoire,0.176354478430489,0.488260810492021,0.53,0.86,0.866,0.474,0.547,-0.23166526390793,-0.2037382593632173,0.0780676074478006,0.183198035770511
CIV.10_1,Côte d'Ivoire,0.18070167025851305,0.452163404930979,0.53,0.86,0.894,0.469,0.524,-0.21963143313162897,-0.259241254357715,0.0929130191198463,0.275930270894563
CIV.11_1,Côte d'Ivoire,0.273668482047159,0.59508834845634,0.53,0.86,0.866,0.505,0.584,-0.21564379503320688,-0.25192675804012915,0.310124106051535,0.747349321823561
CIV.12_1,Côte d'Ivoire,0.112593618689344,0.327085566850457,0.53,0.86,0.86,0.436,0.507,-0.24478770168465996,-0.27353945714486355,0.0378452466041278,0.116139148237156
CIV.13_1,Côte d'Ivoire,0.411070682308165,0.581061614512062,0.53,0.86,0.856,0.497,0.58,-0.03273213670733951,-0.13166578972285092,0.382660599704973,0.848006088567787
CIV.14_1,Côte d'Ivoire,0.181841447794905,0.579982515375145,0.53,0.86,0.862,0.459,0.532,-0.2525349776493897,-0.2778274313753062,0.0548088211595406,0.167006712523822
ETH.1_1,Ethiopia,0.308313382676603,0.526632021459384,0.465,0.893,0.942,0.678,0.72,1.8086161911178176,4.913244067152933,0.64241693729165406,1
ETH.2_1,Ethiopia,0.0273150945704644,0.166986125455021,0.465,0.893,0.861,0.384,0.445,-0.2687093474571941,-0.28620528682417534,0.0119296634453678,0.0323008341174162
ETH.3_1,Ethiopia,0.0246059011701296,0.253206831640055,0.465,0.893,0.935,0.435,0.465,-0.2667567800696776,-0.187412413142149,0.0120454666529167,0.0353484088530988
ETH.4_1,Ethiopia,0.0225221371266797,0.225285161575957,0.465,0.893,0.848,0.421,0.497,-0.2662399106663351,-0.283989005223471,0.0301485510688084,0.0817854940868062
ETH.5_1,Ethiopia,0.163225430976604,0.418180626365408,0.465,0.893,0.877,0.514,0.586,-0.1882813887305716,0.04697907522781942,0.260885550593153,0.557840238196372
