_submission__uuid,gender,age_class,hh_size,age_u5,age_5_18,age_18plus,age_u5_count,age_5_18_count,age_18plus_count,hh_size_categorical,hh_size_categorical_crude,cooking_fuel,material_house,modern_fuel_type,manufactured_material_house,radio,bed,_id,health_zone
bd2857b3-1eaf-41a3-b04f-249963b5e225,m,"[18,25)",10,0,5,5,0,2+,2+,10+,7+,charcoal,earth,1,0,yes,yes,461072357,Kalemie
bd2857b3-1eaf-41a3-b04f-249963b5e225,m,"[18,25)",10,0,5,5,0,2+,2+,10+,7+,charcoal,earth,1,0,yes,yes,461072357,Kalemie
aa4c3813-5950-4203-9765-4cf59b025c82,f,"[18,25)",10,2,4,4,2+,2+,2+,10+,7+,charcoal,earth,1,0,yes,yes,461072372,Kalemie
aa4c3813-5950-4203-9765-4cf59b025c82,m,"[45,55)",10,2,4,4,2+,2+,2+,10+,7+,charcoal,earth,1,0,yes,yes,461072372,Kalemie
aa4c3813-5950-4203-9765-4cf59b025c82,f,"[18,25)",10,2,4,4,2+,2+,2+,10+,7+,charcoal,earth,1,0,yes,yes,461072372,Kalemie
aa4c3813-5950-4203-9765-4cf59b025c82,f,"[35,45)",10,2,4,4,2+,2+,2+,10+,7+,charcoal,earth,1,0,yes,yes,461072372,Kalemie
08c0064d-5385-46d9-b898-04b23a4c81c0,f,"[25,35)",6,1,3,2,1,2+,2+,"[4,7)","[0,6)",charcoal,cement_blocks,1,1,no,yes,461072381,Kalemie
08c0064d-5385-46d9-b898-04b23a4c81c0,m,"[35,45)",6,1,3,2,1,2+,2+,"[4,7)","[0,6)",charcoal,cement_blocks,1,1,no,yes,461072381,Kalemie
4053b6b6-14be-47aa-ae36-db6a54af5f18,f,"[25,35)",8,2,4,2,2+,2+,2+,"[7,10)",7+,charcoal,earth,1,0,yes,yes,461072394,Kalemie
4053b6b6-14be-47aa-ae36-db6a54af5f18,m,"[35,45)",8,2,4,2,2+,2+,2+,"[7,10)",7+,charcoal,earth,1,0,yes,yes,461072394,Kalemie
9d9306e0-0493-4fc5-a431-570fb867ae53,f,"[35,45)",10,0,6,4,0,2+,2+,10+,7+,charcoal,cement_blocks,1,1,no,yes,461072808,Kalemie
9d9306e0-0493-4fc5-a431-570fb867ae53,m,"[45,55)",10,0,6,4,0,2+,2+,10+,7+,charcoal,cement_blocks,1,1,no,yes,461072808,Kalemie
9d9306e0-0493-4fc5-a431-570fb867ae53,m,"[18,25)",10,0,6,4,0,2+,2+,10+,7+,charcoal,cement_blocks,1,1,no,yes,461072808,Kalemie
9d9306e0-0493-4fc5-a431-570fb867ae53,m,"[18,25)",10,0,6,4,0,2+,2+,10+,7+,charcoal,cement_blocks,1,1,no,yes,461072808,Kalemie
074775d9-eeaa-43a5-98b5-4a56a4e783d4,f,"[18,25)",3,1,0,2,1,0,2+,"[0,4)","[0,6)",charcoal,earth,1,0,yes,yes,461072817,Kalemie
074775d9-eeaa-43a5-98b5-4a56a4e783d4,m,"[35,45)",3,1,0,2,1,0,2+,"[0,4)","[0,6)",charcoal,earth,1,0,yes,yes,461072817,Kalemie
cd4117d6-066b-4cac-87cd-cb95a72fe8f2,f,"[25,35)",10,2,2,6,2+,2+,2+,10+,7+,charcoal,coated_adobe,1,1,no,yes,461072826,Kalemie
cd4117d6-066b-4cac-87cd-cb95a72fe8f2,m,"[25,35)",10,2,2,6,2+,2+,2+,10+,7+,charcoal,coated_adobe,1,1,no,yes,461072826,Kalemie
cd4117d6-066b-4cac-87cd-cb95a72fe8f2,m,"[18,25)",10,2,2,6,2+,2+,2+,10+,7+,charcoal,coated_adobe,1,1,no,yes,461072826,Kalemie
cd4117d6-066b-4cac-87cd-cb95a72fe8f2,f,"[18,25)",10,2,2,6,2+,2+,2+,10+,7+,charcoal,coated_adobe,1,1,no,yes,461072826,Kalemie
